Time,Distance_km
2024-05-07T00:00:00Z,9.08
2024-05-07T00:01:00Z,7.12
2024-05-07T00:02:00Z,6.88
2024-05-07T00:03:00Z,8.50
2024-05-07T00:04:00Z,11.18
2024-05-07T00:05:00Z,14.31
2024-05-07T00:06:00Z,17.60
2024-05-07T00:07:00Z,20.94
2024-05-07T00:08:00Z,24.25
2024-05-07T00:09:00Z,27.50
2024-05-07T00:10:00Z,30.65
2024-05-07T00:11:00Z,33.68
2024-05-07T00:12:00Z,36.57
2024-05-07T00:13:00Z,39.31
2024-05-07T00:14:00Z,41.88
2024-05-07T00:15:00Z,44.27
2024-05-07T00:16:00Z,46.46
2024-05-07T00:17:00Z,48.45
2024-05-07T00:18:00Z,50.22
2024-05-07T00:19:00Z,51.77
2024-05-07T00:20:00Z,53.09
2024-05-07T00:21:00Z,54.17
2024-05-07T00:22:00Z,55.01
2024-05-07T00:23:00Z,55.60
2024-05-07T00:24:00Z,55.95
2024-05-07T00:25:00Z,56.04
2024-05-07T00:26:00Z,55.89
2024-05-07T00:27:00Z,55.49
2024-05-07T00:28:00Z,54.84
2024-05-07T00:29:00Z,53.94
2024-05-07T00:30:00Z,52.81
2024-05-07T00:31:00Z,51.44
2024-05-07T00:32:00Z,49.84
2024-05-07T00:33:00Z,48.02
2024-05-07T00:34:00Z,45.98
2024-05-07T00:35:00Z,43.75
2024-05-07T00:36:00Z,41.33
2024-05-07T00:37:00Z,38.72
2024-05-07T00:38:00Z,35.95
2024-05-07T00:39:00Z,33.04
2024-05-07T00:40:00Z,29.99
2024-05-07T00:41:00Z,26.84
2024-05-07T00:42:00Z,23.60
2024-05-07T00:43:00Z,20.31
2024-05-07T00:44:00Z,17.03
2024-05-07T00:45:00Z,13.83
2024-05-07T00:46:00Z,10.87
2024-05-07T00:47:00Z,8.51
2024-05-07T00:48:00Z,7.38
2024-05-07T00:49:00Z,8.06
2024-05-07T00:50:00Z,10.17
2024-05-07T00:51:00Z,13.02
2024-05-07T00:52:00Z,16.18
2024-05-07T00:53:00Z,19.46
2024-05-07T00:54:00Z,22.76
2024-05-07T00:55:00Z,26.02
2024-05-07T00:56:00Z,29.21
2024-05-07T00:57:00Z,32.29
2024-05-07T00:58:00Z,35.25
2024-05-07T00:59:00Z,38.07
2024-05-07T01:00:00Z,40.72
2024-05-07T01:01:00Z,43.20
2024-05-07T01:02:00Z,45.50
2024-05-07T01:03:00Z,47.59
2024-05-07T01:04:00Z,49.47
2024-05-07T01:05:00Z,51.13
2024-05-07T01:06:00Z,52.56
2024-05-07T01:07:00Z,53.76
2024-05-07T01:08:00Z,54.72
2024-05-07T01:09:00Z,55.43
2024-05-07T01:10:00Z,55.89
2024-05-07T01:11:00Z,56.10
2024-05-07T01:12:00Z,56.06
2024-05-07T01:13:00Z,55.77
2024-05-07T01:14:00Z,55.23
2024-05-07T01:15:00Z,54.44
2024-05-07T01:16:00Z,53.40
2024-05-07T01:17:00Z,52.12
2024-05-07T01:18:00Z,50.62
2024-05-07T01:19:00Z,48.88
2024-05-07T01:20:00Z,46.93
2024-05-07T01:21:00Z,44.77
2024-05-07T01:22:00Z,42.41
2024-05-07T01:23:00Z,39.87
2024-05-07T01:24:00Z,37.16
2024-05-07T01:25:00Z,34.30
2024-05-07T01:26:00Z,31.30
2024-05-07T01:27:00Z,28.18
2024-05-07T01:28:00Z,24.97
2024-05-07T01:29:00Z,21.70
2024-05-07T01:30:00Z,18.42
2024-05-07T01:31:00Z,15.20
2024-05-07T01:32:00Z,12.15
2024-05-07T01:33:00Z,9.56
2024-05-07T01:34:00Z,7.93
2024-05-07T01:35:00Z,7.91
2024-05-07T01:36:00Z,9.52
2024-05-07T01:37:00Z,12.11
2024-05-07T01:38:00Z,15.14
2024-05-07T01:39:00Z,18.36
2024-05-07T01:40:00Z,21.64
2024-05-07T01:41:00Z,24.90
2024-05-07T01:42:00Z,28.11
2024-05-07T01:43:00Z,31.22
2024-05-07T01:44:00Z,34.22
2024-05-07T01:45:00Z,37.08
2024-05-07T01:46:00Z,39.79
2024-05-07T01:47:00Z,42.33
2024-05-07T01:48:00Z,44.69
2024-05-07T01:49:00Z,46.86
2024-05-07T01:50:00Z,48.81
2024-05-07T01:51:00Z,50.56
2024-05-07T01:52:00Z,52.08
2024-05-07T01:53:00Z,53.37
2024-05-07T01:54:00Z,54.42
2024-05-07T01:55:00Z,55.23
2024-05-07T01:56:00Z,55.80
2024-05-07T01:57:00Z,56.11
2024-05-07T01:58:00Z,56.18
2024-05-07T01:59:00Z,56.00
2024-05-07T02:00:00Z,55.57
2024-05-07T02:01:00Z,54.89
2024-05-07T02:02:00Z,53.97
2024-05-07T02:03:00Z,52.82
2024-05-07T02:04:00Z,51.42
2024-05-07T02:05:00Z,49.80
2024-05-07T02:06:00Z,47.97
2024-05-07T02:07:00Z,45.92
2024-05-07T02:08:00Z,43.67
2024-05-07T02:09:00Z,41.23
2024-05-07T02:10:00Z,38.62
2024-05-07T02:11:00Z,35.85
2024-05-07T02:12:00Z,32.94
2024-05-07T02:13:00Z,29.90
2024-05-07T02:14:00Z,26.77
2024-05-07T02:15:00Z,23.56
2024-05-07T02:16:00Z,20.32
2024-05-07T02:17:00Z,17.11
2024-05-07T02:18:00Z,14.03
2024-05-07T02:19:00Z,11.26
2024-05-07T02:20:00Z,9.17
2024-05-07T02:21:00Z,8.33
2024-05-07T02:22:00Z,9.11
2024-05-07T02:23:00Z,11.17
2024-05-07T02:24:00Z,13.92
